연,월,일,온도,위치
2010,1,1,-7.6,서울
2010,1,2,-3.6,서울
2010,1,3,-6.8,서울
2010,1,4,-5.9,서울
2010,1,5,-9.9,서울
2010,1,6,-11.2,서울
2010,1,7,-10.1,서울
2010,1,8,-8.0,서울
2010,1,9,-5.1,서울
2010,1,10,-3.4,서울
2010,1,11,-5.2,서울
2010,1,12,-10.3,서울
2010,1,13,-13.2,서울
2010,1,14,-9.1,서울
2010,1,15,-5.0,서울
2010,1,16,-6.4,서울
2010,1,17,-4.0,서울
2010,1,18,-0.5,서울
2010,1,19,2.7,서울
2010,1,20,5.8,서울
2010,1,21,-4.1,서울
2010,1,22,-7.0,서울
2010,1,23,-5.3,서울
2010,1,24,0.3,서울
2010,1,25,-3.0,서울
2010,1,26,-4.1,서울
2010,1,27,-0.2,서울
2010,1,28,-0.4,서울
2010,1,29,-2.1,서울
2010,1,30,1.5,서울
2010,1,31,1.8,서울
2010,2,1,0.8,서울
2010,2,2,-6.2,서울
2010,2,3,-8.0,서울
2010,2,4,-4.3,서울
2010,2,5,-5.5,서울
2010,2,6,-4.7,서울
2010,2,7,0.7,서울
2010,2,8,4.0,서울
2010,2,9,3.7,서울
2010,2,10,3.9,서울
2010,2,11,0.6,서울
2010,2,12,-0.3,서울
2010,2,13,-2.3,서울
2010,2,14,-2.2,서울
2010,2,15,-3.1,서울
2010,2,16,-4.5,서울
2010,2,17,-3.2,서울
2010,2,18,-2.9,서울
2010,2,19,-1.0,서울
2010,2,20,3.0,서울
2010,2,21,4.8,서울
2010,2,22,6.5,서울
2010,2,23,8.2,서울
2010,2,24,12.2,서울
2010,2,25,12.0,서울
2010,2,26,12.0,서울
2010,2,27,8.6,서울
2010,2,28,6.8,서울
2010,3,1,2.9,서울
2010,3,2,2.7,서울
2010,3,3,4.4,서울
2010,3,4,5.5,서울
2010,3,5,6.4,서울
2010,3,6,6.0,서울
2010,3,7,4.9,서울
2010,3,8,4.1,서울
2010,3,9,1.5,서울
2010,3,10,-1.4,서울
2010,3,11,2.3,서울
2010,3,12,5.8,서울
2010,3,13,2.4,서울
2010,3,14,7.2,서울
2010,3,15,7.9,서울
2010,3,16,0.7,서울
2010,3,17,-0.1,서울
2010,3,18,0.5,서울
2010,3,19,4.5,서울
2010,3,20,6.8,서울
2010,3,21,2.7,서울
2010,3,22,2.1,서울
2010,3,23,5.9,서울
2010,3,24,8.7,서울
2010,3,25,5.0,서울
2010,3,26,2.0,서울
2010,3,27,5.4,서울
2010,3,28,4.1,서울
2010,3,29,5.8,서울
2010,3,30,8.3,서울
2010,3,31,7.3,서울
2010,4,1,7.0,서울
2010,4,2,5.5,서울
2010,4,3,5.0,서울
2010,4,4,7.7,서울
2010,4,5,10.4,서울
2010,4,6,8.5,서울
2010,4,7,7.3,서울
2010,4,8,9.1,서울
2010,4,9,11.4,서울
2010,4,10,10.7,서울
2010,4,11,13.6,서울
2010,4,12,13.2,서울
2010,4,13,4.4,서울
2010,4,14,4.0,서울
2010,4,15,7.0,서울
2010,4,16,8.0,서울
2010,4,17,7.6,서울
2010,4,18,12.0,서울
2010,4,19,14.7,서울
2010,4,20,16.8,서울
2010,4,21,14.1,서울
2010,4,22,10.7,서울
2010,4,23,9.3,서울
2010,4,24,11.1,서울
2010,4,25,13.6,서울
2010,4,26,12.4,서울
2010,4,27,7.5,서울
2010,4,28,5.0,서울
2010,4,29,8.5,서울
2010,4,30,9.6,서울
2010,5,1,12.3,서울
2010,5,2,17.2,서울
2010,5,3,18.2,서울
2010,5,4,20.2,서울
2010,5,5,20.6,서울
2010,5,6,13.4,서울
2010,5,7,14.6,서울
2010,5,8,16.7,서울
2010,5,9,19.0,서울
2010,5,10,16.1,서울
2010,5,11,12.9,서울
2010,5,12,13.8,서울
2010,5,13,16.0,서울
2010,5,14,18.0,서울
2010,5,15,17.0,서울
2010,5,16,18.2,서울
2010,5,17,20.3,서울
2010,5,18,17.3,서울
2010,5,19,17.1,서울
2010,5,20,19.5,서울
2010,5,21,22.1,서울
2010,5,22,20.1,서울
2010,5,23,16.1,서울
2010,5,24,13.1,서울
2010,5,25,14.9,서울
2010,5,26,17.4,서울
2010,5,27,17.4,서울
2010,5,28,17.3,서울
2010,5,29,18.7,서울
2010,5,30,18.9,서울
2010,5,31,17.3,서울
2010,6,1,19.1,서울
2010,6,2,21.0,서울
2010,6,3,21.1,서울
2010,6,4,22.3,서울
2010,6,5,23.3,서울
2010,6,6,24.9,서울
2010,6,7,25.4,서울
2010,6,8,25.7,서울
2010,6,9,26.0,서울
2010,6,10,26.5,서울
2010,6,11,25.6,서울
2010,6,12,17.9,서울
2010,6,13,22.0,서울
2010,6,14,22.8,서울
2010,6,15,24.4,서울
2010,6,16,22.3,서울
2010,6,17,24.0,서울
2010,6,18,25.9,서울
2010,6,19,23.0,서울
2010,6,20,23.0,서울
2010,6,21,22.2,서울
2010,6,22,21.6,서울
2010,6,23,23.0,서울
2010,6,24,24.4,서울
2010,6,25,26.7,서울
2010,6,26,24.8,서울
2010,6,27,21.8,서울
2010,6,28,24.6,서울
2010,6,29,23.9,서울
2010,6,30,22.8,서울
2010,7,1,26.1,서울
2010,7,2,24.9,서울
2010,7,3,24.1,서울
2010,7,4,26.5,서울
2010,7,5,26.1,서울
2010,7,6,26.0,서울
2010,7,7,25.6,서울
2010,7,8,24.7,서울
2010,7,9,24.9,서울
2010,7,10,25.6,서울
2010,7,11,23.8,서울
2010,7,12,25.1,서울
2010,7,13,26.1,서울
2010,7,14,24.8,서울
2010,7,15,26.0,서울
2010,7,16,23.7,서울
2010,7,17,23.2,서울
2010,7,18,25.9,서울
2010,7,19,26.7,서울
2010,7,20,28.2,서울
2010,7,21,27.8,서울
2010,7,22,27.1,서울
2010,7,23,24.4,서울
2010,7,24,25.6,서울
2010,7,25,26.0,서울
2010,7,26,25.4,서울
2010,7,27,26.9,서울
2010,7,28,27.0,서울
2010,7,29,26.8,서울
2010,7,30,27.0,서울
2010,7,31,27.0,서울
2010,8,1,27.5,서울
2010,8,2,27.3,서울
2010,8,3,27.6,서울
2010,8,4,28.1,서울
2010,8,5,29.2,서울
2010,8,6,28.3,서울
2010,8,7,26.2,서울
2010,8,8,27.3,서울
2010,8,9,28.6,서울
2010,8,10,26.5,서울
2010,8,11,28.2,서울
2010,8,12,23.7,서울
2010,8,13,26.0,서울
2010,8,14,26.9,서울
2010,8,15,26.6,서울
2010,8,16,24.8,서울
2010,8,17,26.3,서울
2010,8,18,26.0,서울
2010,8,19,28.5,서울
2010,8,20,28.6,서울
2010,8,21,28.6,서울
2010,8,22,28.7,서울
2010,8,23,26.4,서울
2010,8,24,23.7,서울
2010,8,25,21.6,서울
2010,8,26,24.0,서울
2010,8,27,25.8,서울
