지점,지점명,일시,평균기온(°C)
108,서울,2010-01-01,-7.6
108,서울,2010-01-02,-3.6
108,서울,2010-01-03,-6.8
108,서울,2010-01-04,-5.9
108,서울,2010-01-05,-9.9
108,서울,2010-01-06,-11.2
108,서울,2010-01-07,-10.1
108,서울,2010-01-08,-8
108,서울,2010-01-09,-5.1
108,서울,2010-01-10,-3.4
108,서울,2010-01-11,-5.2
108,서울,2010-01-12,-10.3
108,서울,2010-01-13,-13.2
108,서울,2010-01-14,-9.1
108,서울,2010-01-15,-5
108,서울,2010-01-16,-6.4
108,서울,2010-01-17,-4
108,서울,2010-01-18,-.5
108,서울,2010-01-19,2.7
108,서울,2010-01-20,5.8
108,서울,2010-01-21,-4.1
108,서울,2010-01-22,-7
108,서울,2010-01-23,-5.3
108,서울,2010-01-24,.3
108,서울,2010-01-25,-3
108,서울,2010-01-26,-4.1
108,서울,2010-01-27,-.2
108,서울,2010-01-28,-.4
108,서울,2010-01-29,-2.1
108,서울,2010-01-30,1.5
108,서울,2010-01-31,1.8
108,서울,2010-02-01,.8
108,서울,2010-02-02,-6.2
108,서울,2010-02-03,-8
108,서울,2010-02-04,-4.3
108,서울,2010-02-05,-5.5
108,서울,2010-02-06,-4.7
108,서울,2010-02-07,.7
108,서울,2010-02-08,4
108,서울,2010-02-09,3.7
108,서울,2010-02-10,3.9
108,서울,2010-02-11,.6
108,서울,2010-02-12,-.3
108,서울,2010-02-13,-2.3
108,서울,2010-02-14,-2.2
108,서울,2010-02-15,-3.1
108,서울,2010-02-16,-4.5
108,서울,2010-02-17,-3.2
108,서울,2010-02-18,-2.9
108,서울,2010-02-19,-1
108,서울,2010-02-20,3
108,서울,2010-02-21,4.8
108,서울,2010-02-22,6.5
108,서울,2010-02-23,8.2
108,서울,2010-02-24,12.2
108,서울,2010-02-25,12
108,서울,2010-02-26,12
108,서울,2010-02-27,8.6
108,서울,2010-02-28,6.8
108,서울,2010-03-01,2.9
108,서울,2010-03-02,2.7
108,서울,2010-03-03,4.4
108,서울,2010-03-04,5.5
108,서울,2010-03-05,6.4
108,서울,2010-03-06,6
108,서울,2010-03-07,4.9
108,서울,2010-03-08,4.1
108,서울,2010-03-09,1.5
108,서울,2010-03-10,-1.4
108,서울,2010-03-11,2.3
108,서울,2010-03-12,5.8
108,서울,2010-03-13,2.4
108,서울,2010-03-14,7.2
108,서울,2010-03-15,7.9
108,서울,2010-03-16,.7
108,서울,2010-03-17,-.1
108,서울,2010-03-18,.5
108,서울,2010-03-19,4.5
108,서울,2010-03-20,6.8
108,서울,2010-03-21,2.7
108,서울,2010-03-22,2.1
108,서울,2010-03-23,5.9
108,서울,2010-03-24,8.7
108,서울,2010-03-25,5
108,서울,2010-03-26,2
108,서울,2010-03-27,5.4
108,서울,2010-03-28,4.1
108,서울,2010-03-29,5.8
108,서울,2010-03-30,8.3
108,서울,2010-03-31,7.3
108,서울,2010-04-01,7
108,서울,2010-04-02,5.5
108,서울,2010-04-03,5
108,서울,2010-04-04,7.7
108,서울,2010-04-05,10.4
108,서울,2010-04-06,8.5
108,서울,2010-04-07,7.3
108,서울,2010-04-08,9.1
108,서울,2010-04-09,11.4
108,서울,2010-04-10,10.7
108,서울,2010-04-11,13.6
108,서울,2010-04-12,13.2
108,서울,2010-04-13,4.4
